Name,Year Membership
Alejandro Gustavo Elsztain,2006
Alejandro Santo Domingo,2006
Alexandra Prieto-Romualdez,2006
Alice Jacobs,2006
Andrey Zarur,2006
Anestis Matthew,2006
Antonio Bonchristiano,2006
Arkadiusz Nowak,2006
Armen Darbinyan,2006
Aun Porn Moniroth,2006
Awais Ahmad Khan Leghari,2006
Ayanna Howard,2006
Bernd Montag,2006
Bo Peabody,2006
Bo Shao,2006
Brian Behlendorf,2006
Brian Molefe,2006
Caroline Casey,2006
Chanthol Oung,2006
Charmian Gooch,2006
Cherie Nursalim,2006
Choak Bulakul,2006
Chris Tucker,2006
Christophe Beck,2006
Christopher Alexander,2006
Chua Chim Kang,2006
Collen Gwiyo,2006
Corinna E. Lathan,2006
Cyrille Nkontchou,2006
Daron Acemoglu,2006
David Blumer,2006
Debo Adesina,2006
Devin Wenig,2006
Ekta Kapoor,2006
Ellen MacArthur,2006
Elvis Gbanabom Hallowell,2006
Emile Cubeisy,2006
Erik Charas,2006
Ernest Darkoh,2006
Escobar Paula,2006
Esther Duflo,2006
Eugenio Burzaco,2006
Euisun Chung,2006
Fa He,2006
Faustina Pereira,2006
Ferreiro Alejandro,2006
Gadi Taub,2006
Gang Pan,2006
Gerard Ian,2006
Hafsat Abiola,2006
Hakam Kanafani,2006
Hanadi N. Al Thani,2006
Hania Bitar,2006
Hanson Cheah,2006
HÇläne Grimaud,2006
Hilary Cottam,2006
Huateng Ma,2006
Hubert Pesquidoux,2006
Igor Shevchenko,2006
Imara Jones,2006
Irshad Manji,2006
Ivan Krastev,2006
J. Joseph Kim,2006
Jacek Olechowski,2006
James Allard,2006
Janet Mountain,2006
Joe Hockey,2006
Johann Olav Koss,2006
John Hamlin,2006
John Nevado,2006
John Osborn,2006
Jonathan Schwartz,2006
Joo Young Kim,2006
Jorge R. Blanco,2006
JosÇ Pereira de Oliveira Junior,2006
Joseph Akinkugbe Adelegan,2006
Joshua Cooper Ramo,2006
Juan Carlos C. Eichholz,2006
Justin Forsyth,2006
Justin Leong,2006
Kamal A. S. Bahamdan,2006
Katherine Garrett-Cox,2006
Kensuke Onishi,2006
Kevin J. Martin,2006
